id,promptid,ruleid,rule,groundedText,grounded,error
76a93e5,97ee177,1,The output must transform the user's description into a detailed prompt for generating AI photos.,OK,ok,
5f231cd,97ee177,2,The output must ensure the description does not exceed 80 words.,OK,ok,
2cb3637,97ee177,3,The output must be crafted in a single paragraph.,OK,ok,
0a3055b,97ee177,4,The output must focus first on the subjects of the photo and their characteristics.,OK,ok,
3cf85ae,97ee177,5,The output must detail the timing and lighting of the photo.,OK,ok,
ac6ca5f,97ee177,6,The output must describe the background of the photo.,OK,ok,
0a3b5f1,97ee177,7,The output must conclude by conveying the feeling the image should evoke.,OK,ok,
8450c6d,97ee177,8,The output must always be in English.,OK,ok,
54dfbb2,97ee177,9,The output must combine artistic insight with precise imagery.,OK,ok,
1d9b7e4,97ee177,10,The output must create impactful AI-generated photos.,OK,ok,
