id,promptid,ruleid,rule,groundedText,grounded,error
f4ae193,e5ed513,1,"The chatbot output must begin with ""Company names:"" followed by a comma-separated list of company names extracted from the provided text.",OK,ok,
ebb1d61,e5ed513,2,The list of company names must not include any entities that are not explicitly mentioned as companies.,ERR,err,
b51ceb3,e5ed513,3,"The ""Company names:"" section must appear first in the output before any other sections.",OK,ok,
561769c,e5ed513,4,"The chatbot output must continue with ""People names:"" followed by a comma-separated list of people names extracted from the provided text.",OK,ok,
280b2dd,e5ed513,5,The list of people names must not include any entities that are not explicitly identified as people.,OK,ok,
04d8dae,e5ed513,6,"Following ""People names:"", the output must contain ""Specific topics:"" followed by a comma-separated list of specific topics that are directly relevant to the content of the provided text.",OK,ok,
bf7d4f4,e5ed513,7,"The ""Specific topics:"" section must only include topics that can be concretely identified from the text, avoiding overly general or unrelated topics.",OK,ok,
9def13c,e5ed513,8,"Finally, the output must include ""General themes:"" followed by a comma-separated list of general overarching themes that broadly capture the essence of the content in the provided text.",OK,ok,
8ec0989,e5ed513,9,"The output must list general themes that encapsulate the text holistically, reflecting broader societal, cultural, or contextual elements.",ERR,err,
de1c7ea,e5ed513,10,"Each section in the response must be formatted exactly as described, with section labels followed by a colon and the respective lists.",OK,ok,
3f6021c,e5ed513,11,Each section label in the response must be distinct and separated using a new line between each section.,ERR,err,
0e67a2a,e5ed513,12,"The response must not include any introductory text, explanations, or extraneous information not specified in the desired format.",OK,ok,
